City,Country,lat,lng,Temp,Max Temp,humidity,Cloudiness,Wind Speed
Caravelas,BR,-17.73,-39.27,80.33,80.33,77,17,6.96
Tateyama,JP,36.66,137.31,57.27,59.0,95,83,1.99
Souillac,FR,45.6,-0.6,58.23,59.0,72,0,2.24
Ginda,IN,30.69,78.49,49.91,49.91,50,0,5.79
Ouango,CD,4.31,22.55,76.91,76.91,42,51,0.83
Faya,SA,18.39,42.45,65.32,66.2,82,0,8.05
Claremore,US,36.31,-95.62,82.4,84.99,30,1,25.28
Zilair,RU,52.23,57.44,36.41,36.41,72,98,4.81
Haines Junction,CA,60.75,-137.51,34.97,34.97,52,39,12.17
Havelock,US,34.88,-76.9,62.8,64.99,59,90,12.75
Sadasivpet,IN,17.62,77.95,80.28,80.6,54,40,6.93
Busayra,JO,30.74,35.61,58.73,58.73,46,0,6.38
Pevek,RU,69.7,170.27,-0.13,-0.13,90,5,6.67
San Vicente,SV,13.64,-88.78,90.19,91.4,31,0,8.05
Oranjemund,ZA,-28.55,16.43,60.53,60.53,85,0,17.43
Vardo,US,39.62,-77.74,64.08,68.0,45,90,10.29
Quatre Cocos,MU,-20.21,57.76,78.37,78.8,94,75,11.41
Phibun Mangsahan,TH,15.24,105.23,82.4,82.4,88,28,1.12
Ketchikan,US,55.34,-131.65,45.19,46.4,93,90,23.04
Sabzevar,IR,36.21,57.68,51.53,51.53,60,0,6.11
Ust-Nera,RU,64.57,143.24,22.37,22.37,88,93,3.76
La Ronge,CA,55.1,-105.3,46.4,46.4,48,75,8.05
Mocuba,MZ,-16.84,36.99,66.11,66.11,97,17,2.51
Coxim,BR,-18.5,-54.75,86.27,86.27,62,42,3.11
Hovd,NO,63.83,10.7,46.11,46.99,87,75,4.7
Bilibino,RU,68.06,166.44,4.37,4.37,79,0,3.15
Bella Vista,AR,-28.51,-59.05,76.91,76.91,74,90,8.12
Teacapan,MX,22.54,-105.74,74.39,74.39,80,0,12.82
Patti,IT,38.14,14.96,58.93,64.4,77,90,18.34
Hit,IQ,33.64,42.83,59.81,59.81,35,92,17.98
Carnarvon,ZA,-30.97,22.13,54.95,54.95,58,0,26.37
Chara,GR,39.42,22.43,49.12,50.0,81,75,1.28
Husavik,CA,50.56,-96.99,65.12,66.0,30,73,7.0
Zhangye,CN,38.94,100.46,54.59,54.59,25,0,3.69
Sitka,US,37.17,-99.65,90.0,90.0,16,0,14.0
Natchez,US,31.56,-91.4,77.38,78.8,39,1,6.93
Muros,ES,42.77,-9.06,57.24,66.0,76,0,9.17
Macenta,GN,8.55,-9.47,78.71,78.71,67,99,1.19
Bording,DK,56.15,9.28,48.74,52.0,61,0,3.36
Acaponeta,MX,22.49,-105.36,90.95,90.95,37,0,8.5
Erzin,TR,36.95,36.2,56.57,57.2,50,20,12.75
Kirakira,SB,-10.46,161.92,81.41,81.41,78,100,2.95
Qaqortoq,GL,60.72,-46.03,41.0,41.0,44,39,9.17
Marathon,CA,48.72,-86.38,51.8,51.8,43,75,9.17
Tezu,IN,27.93,96.16,66.65,66.65,45,3,3.96
Laramie,US,41.31,-105.59,49.55,53.6,81,90,11.41
Vossevangen,NO,60.63,6.42,50.0,50.0,77,5,5.7
Guarapuava,BR,-25.4,-51.46,65.39,65.39,97,100,2.01
Ridgecrest,US,35.62,-117.67,72.63,75.99,19,1,2.93
Aykhal,RU,65.95,111.51,14.0,14.0,85,90,4.47
Qinzhou,CN,21.96,108.62,78.17,78.17,94,0,5.35
Timbuktu,ML,16.77,-3.01,91.67,91.67,11,0,3.65
General Roca,AR,-39.03,-67.58,75.2,75.2,29,0,8.05
Airai,TL,-8.93,125.41,73.31,73.31,72,59,6.24
Lufilufi,WS,-13.87,-171.6,82.18,82.4,83,75,7.07
Kavaratti,IN,10.57,72.64,84.29,84.29,68,75,9.6
Hoquiam,US,46.98,-123.89,53.94,57.2,71,90,11.41
Jammalamadugu,IN,14.85,78.38,92.21,92.21,42,77,13.38
Inhambane,MZ,-23.87,35.38,73.4,73.4,83,20,3.65
Teguise,ES,29.06,-13.56,66.2,66.2,72,20,19.46
Touros,BR,-5.2,-35.46,82.4,82.4,83,40,6.93
Vesyegonsk,RU,58.67,37.27,42.53,42.53,70,0,2.77
Port Hedland,AU,-20.31,118.58,71.6,71.6,19,87,9.17
Port Lincoln,AU,-34.72,135.86,60.17,60.17,59,100,8.57
Daru,SL,7.99,-10.85,77.09,77.09,91,76,3.65
Canon City,US,39.46,-117.13,44.6,44.6,75,90,9.17
Ancud,CL,-41.87,-73.83,50.0,50.0,81,90,4.7
Namibe,AO,-15.19,12.15,73.13,73.13,78,72,5.79
Uyuni,BO,-20.46,-66.82,61.61,61.61,7,0,11.3
Chifeng,CN,42.27,118.96,47.57,47.57,46,98,10.65
Muisne,EC,0.61,-80.02,80.6,80.6,83,75,4.7
Lincoln,GB,53.23,-0.54,55.45,61.0,54,0,2.24
Turayf,SA,31.68,38.65,42.8,42.8,81,0,16.11
Kirkenaer,NO,60.46,12.06,56.43,57.2,32,0,9.17
Hue,VN,16.47,107.58,80.87,80.87,74,71,2.06
Kloulklubed,PW,7.04,134.26,77.0,77.0,88,75,4.7
Rocha,UY,-34.48,-54.34,57.47,57.47,67,0,6.15
Rio Brilhante,BR,-21.8,-54.54,78.17,78.17,82,100,4.68
Shelburne,CA,44.08,-80.2,54.77,59.0,58,20,6.93
Vanavara,RU,60.35,102.28,20.57,20.57,88,100,8.19
Langsa,ID,4.47,97.97,69.35,69.35,90,33,3.58
Mehamn,NO,71.03,27.85,41.0,41.0,82,75,27.51
Pindiga,NG,9.98,10.93,92.39,92.39,14,55,0.4
Yerbogachen,RU,61.28,108.01,21.65,21.65,93,99,3.29
Hervey Bay,AU,-25.3,152.85,67.19,68.0,93,89,6.93
Chuy,UY,-33.69,-53.46,64.13,64.13,62,0,15.19
Three Hills,CA,51.7,-113.27,58.42,62.01,28,75,6.93
Kot Samaba,PK,28.55,70.47,92.03,92.03,17,0,8.32
Necochea,AR,-38.55,-58.74,62.01,62.01,66,44,5.99
Zheshart,RU,62.09,49.59,34.97,34.97,94,93,5.66
Lavrentiya,RU,65.58,-170.99,-0.32,-0.32,88,86,6.71
Manokwari,ID,-0.87,134.08,74.03,74.03,83,100,1.83
Talara,PE,-4.58,-81.27,62.6,62.6,290,0,10.29
Nsoko,ZA,-27.07,31.93,60.35,60.35,94,26,4.45
Cabedelo,BR,-6.97,-34.84,82.4,82.4,74,20,10.29
Mandurah,AU,-32.55,115.7,46.8,51.01,93,0,3.36
Kenora,CA,49.76,-94.48,58.62,60.8,29,75,8.05
San Policarpo,PH,12.18,125.51,81.23,81.23,73,75,10.11
Gatesville,US,31.44,-97.74,81.28,82.99,51,1,13.87
Ypsonas,CY,34.69,32.96,56.57,59.0,54,0,13.87
Aquiraz,BR,-3.9,-38.39,83.7,84.2,70,40,10.29
Ixtapa,MX,20.71,-105.21,81.32,82.0,69,5,12.75
Nurota,UZ,40.56,65.69,49.73,49.73,58,0,4.81
Dawlatabad,AF,36.41,64.91,51.71,51.71,58,1,5.23
Komsomolskiy,RU,67.55,63.78,32.99,32.99,97,100,14.58
Campagna,IT,40.66,15.11,58.23,63.0,93,90,14.99
Mexico,US,44.56,-70.55,61.03,66.99,93,90,6.93
Irbit,RU,57.67,63.06,40.01,40.01,82,100,4.97
Det Udom,TH,14.9,105.08,82.4,82.4,88,21,1.12
Te Anau,NZ,-45.41,167.72,43.07,43.07,80,1,1.88
Torbay,CA,47.66,-52.73,49.78,53.6,93,90,25.28
Belyy Yar,RU,53.6,91.39,30.2,30.2,80,40,4.47
Half Moon Bay,US,37.46,-122.43,66.18,73.0,59,20,20.8
Nanortalik,GL,60.14,-45.24,30.65,30.65,86,19,10.71
Bahir Dar,ET,11.59,37.39,72.95,72.95,30,86,4.27
Pincher Creek,CA,49.49,-113.95,53.26,53.6,37,40,4.7
Vila,IT,45.18,8.4,60.73,66.0,54,0,3.36
San Angelo,US,31.46,-100.44,87.55,89.01,33,1,11.41
Narsaq,GL,60.91,-46.05,41.0,41.0,44,39,9.17
Ambilobe,MG,-13.19,49.05,74.75,74.75,91,100,4.63
Coahuayana,MX,18.62,-100.35,104.27,104.27,12,2,5.39
Clyde River,CA,70.47,-68.59,1.4,1.4,70,1,10.29
Mingaora,PK,34.78,72.36,56.57,56.57,41,93,9.86
Traunreut,DE,47.96,12.6,51.44,54.0,57,0,3.36
Ravar,IR,31.27,56.81,67.37,67.37,15,1,11.07
Megion,RU,61.04,76.11,32.0,32.0,94,75,4.47
Balikpapan,ID,-1.24,116.86,70.43,70.43,98,50,0.54
Port Augusta,AU,-32.49,137.76,56.86,59.0,67,90,14.99
Astoria,US,46.19,-123.83,54.01,57.0,54,75,8.05
Kingston,CA,44.23,-76.48,52.63,57.99,81,90,6.93
Manakara,MG,-22.14,48.01,71.69,71.69,96,2,4.23
Jumla,NP,29.28,82.18,38.75,38.75,56,8,4.34
Dalvik,SE,57.79,14.13,53.6,53.6,50,39,2.24
Manjacaze,MZ,-24.71,33.88,70.79,70.79,91,17,4.68
Thompson,CA,55.74,-97.86,28.4,28.4,86,90,3.36
Atar,MR,20.52,-13.05,86.81,86.81,14,0,10.0
Codrington,AU,-28.95,153.24,58.39,60.01,93,90,3.38
Aketi,CD,2.74,23.78,77.45,77.45,62,75,0.92
Kushikino,JP,31.72,130.27,55.99,55.99,77,51,7.85
Talcahuano,CL,-36.72,-73.12,53.6,53.6,93,90,6.93
Akonolinga,CM,3.77,12.24,72.23,72.23,88,80,3.96
Cabo San Lucas,MX,22.89,-109.91,80.92,89.01,42,75,2.24
Marzuq,YE,14.4,46.47,80.33,80.33,45,100,7.61
Trinidad,UY,-33.52,-56.9,62.87,62.87,59,0,9.71
Vezirkopru,TR,41.14,35.45,37.53,39.2,80,75,2.24
Sokoni,CD,-12.89,28.78,63.41,63.41,93,96,5.01
Vieux Fort,LC,13.72,-60.95,82.31,84.2,66,20,20.8
Tyup,KG,42.73,78.36,33.71,33.71,98,98,3.4
Kaitong,CN,44.81,123.15,49.37,49.37,16,2,13.0
Marsh Harbour,BS,26.54,-77.06,72.59,72.59,53,0,8.77
Siderno,IT,38.28,16.3,60.15,64.4,77,90,18.34
Pontes e Lacerda,BR,-15.23,-59.33,82.49,82.49,80,100,2.66
Araucaria,BR,-25.59,-49.41,69.22,71.01,83,75,10.29
Yeniseysk,RU,58.45,92.17,18.41,18.41,92,0,6.87
Kenai,US,60.55,-151.26,40.68,42.01,65,75,26.4
Codo,ID,-8.13,112.72,66.11,66.11,94,58,1.95
Comodoro Rivadavia,AR,-45.87,-67.48,64.4,64.4,39,0,8.05
Gladstone,AU,-23.84,151.26,70.72,71.6,73,66,8.05
Ambulu,ID,-8.35,113.61,80.69,80.69,82,60,7.34
Innisfail,CA,52.02,-113.95,56.98,57.99,28,75,6.93
Killybegs,IE,54.63,-8.45,56.95,59.0,77,20,20.8
Santa Cruz Cabralia,BR,-16.28,-39.02,82.4,82.4,74,40,10.29
Storforshei,NO,66.4,14.52,37.8,39.0,93,75,2.24
Xining,CN,36.62,101.77,44.87,44.87,53,66,3.58
San Juan,PH,14.6,121.03,83.37,84.2,74,40,4.7
Jiexiu,CN,37.02,111.92,55.67,55.67,79,100,3.31
Champerico,MX,16.38,-93.6,93.2,93.2,20,40,6.42
Richards Bay,ZA,-28.77,32.06,72.77,72.77,78,100,20.58
Rudsar,IR,37.14,50.29,49.15,50.0,100,90,4.7
Palu,ID,-0.9,119.87,77.81,77.81,81,100,3.27
Albesti,RO,47.7,27.07,47.86,52.0,93,90,5.82
Salekhard,RU,66.54,66.62,33.17,33.17,89,100,14.34
Darnah,LY,32.77,22.64,60.71,60.71,68,0,12.35
Yeppoon,AU,-23.13,150.74,68.0,68.0,82,75,6.93
Nouakchott,MR,18.08,-15.98,68.0,68.0,72,0,17.22
The Pas,CA,53.82,-101.24,51.8,51.8,53,1,4.7
Ambon,FR,47.55,-2.56,56.05,57.99,76,0,4.7
Chernyshevskiy,RU,63.01,112.47,12.29,12.29,91,49,3.15
Ozuluama,MX,21.12,-98.35,85.73,85.73,37,0,7.2
Dunedin,NZ,-45.87,170.5,53.01,53.01,88,0,1.7
Camargo,MX,27.69,-105.17,88.61,88.61,8,97,11.12
Petauke,ZM,-14.25,31.33,67.55,67.55,71,82,7.72
Deep River,CA,46.1,-77.49,55.83,55.99,66,20,2.24
Burley,US,42.54,-113.79,52.52,55.4,66,90,10.29
Cabinda,AO,-5.56,12.19,80.6,80.6,83,20,5.82
Guangyuan,CN,32.43,105.86,55.0,55.0,92,93,2.28
Banjar,ID,-7.37,108.54,73.85,73.85,96,100,1.81
Vad,RO,45.79,25.15,48.0,48.0,70,100,5.19
Naze,NG,5.43,7.07,84.2,84.2,79,75,11.41
Veinticinco de Mayo,AR,-27.38,-54.75,72.59,72.59,94,100,3.04
Tucumcari,US,35.17,-103.73,80.44,82.4,15,1,18.34
Chiriqui Grande,PA,8.95,-82.12,64.99,64.99,48,49,5.99
Soe,EE,57.91,26.05,45.91,46.99,56,0,1.12
Koson,UZ,39.04,65.59,51.8,51.8,81,90,6.93
Chapais,CA,49.78,-74.86,50.0,50.0,78,1,11.41
Kerman,IR,30.29,57.06,64.4,64.4,20,40,11.41
Shache,CN,38.42,77.24,66.99,66.99,49,0,1.01
Mathathane,BW,-22.27,28.75,72.05,72.05,63,0,16.89
Pestovo,RU,55.36,37.98,49.59,55.99,48,0,4.56
Vao,EE,59.1,26.19,43.79,43.79,62,0,5.59
Santa Helena,BR,-2.23,-45.3,77.09,77.09,97,100,2.08
Buckeye,US,33.37,-112.58,85.24,89.01,12,1,11.41
Ayagoz,KZ,47.96,80.43,34.07,34.07,54,100,18.61
Biak,ID,-0.91,122.88,66.11,66.11,99,100,1.92
Timizart,DZ,36.8,4.25,55.0,55.0,86,96,1.01
Kjollefjord,NO,70.95,27.35,41.0,41.0,80,75,27.51
Riyadh,SA,24.63,46.72,75.2,75.2,38,0,3.36
Piedras,EC,-3.64,-79.92,88.77,89.6,55,75,10.29
Inuvik,CA,68.36,-133.71,31.89,41.0,52,20,9.17
Okha,RU,53.59,142.95,29.39,29.39,93,0,4.83
Arlit,NE,18.74,7.39,82.67,82.67,8,0,2.77
Mirabad,IR,28.27,61.33,65.03,65.03,33,0,6.29
Kosh-Agach,RU,49.99,88.66,25.79,25.79,65,68,2.91
Billings,US,45.79,-108.5,46.0,48.2,70,90,11.41
Pangai,TO,-19.8,-174.35,77.0,77.0,78,75,19.46
Kurdzhinovo,RU,43.99,40.96,29.39,29.39,91,99,3.89
Raudeberg,NO,61.99,5.14,51.87,57.2,87,75,8.05
Yakeshi,CN,49.28,120.73,32.63,32.63,22,100,7.29
Itapetininga,BR,-23.59,-48.05,71.15,71.15,86,86,2.48
Egvekinot,RU,66.32,-179.17,5.09,5.09,81,91,7.94
Ugoofaaru,MV,5.67,73.0,85.19,85.19,71,17,10.74
Pemba,MZ,-12.97,40.52,82.4,82.4,83,40,17.22
Puerto Madero,AR,-34.61,-58.36,67.66,72.0,55,0,5.82
Boguchany,RU,58.38,97.46,20.21,20.21,84,57,8.95
Beyneu,KZ,45.32,55.19,47.57,47.57,50,40,0.67
Jizan,SA,16.89,42.56,86.0,86.0,62,0,8.05
Miguel Hidalgo,MX,19.41,-99.19,82.38,91.4,18,20,5.68
Entre Rios,BR,-11.94,-38.08,74.75,74.75,95,42,4.76
Coihaique,CL,-45.58,-72.07,58.39,60.8,62,0,2.33
Eydhafushi,MV,5.1,73.07,84.83,84.83,73,4,10.92
Jiangyou,CN,31.78,104.73,52.07,52.07,83,100,2.71
Balaghat,IN,21.81,80.19,83.75,83.75,19,1,3.38
Port-Gentil,GA,-0.72,8.78,75.2,75.2,94,20,2.24
Loukhi,RU,66.08,33.04,38.93,38.93,89,100,13.06
Noumea,NC,-22.28,166.46,73.4,73.4,83,0,2.24
Riosucio,CO,5.42,-75.7,67.41,73.4,100,75,3.36
Kudahuvadhoo,MV,2.67,72.89,85.55,85.55,73,100,12.75
Vila Velha,BR,-3.71,-38.6,83.7,84.2,70,40,10.29
Nanyang,CN,33.0,112.53,58.37,58.37,81,99,5.21
Klamath Falls,US,42.22,-121.78,56.25,57.99,46,1,5.44
Marin,RO,47.13,22.81,53.82,54.0,54,100,5.82
Buala,SB,-8.15,159.59,82.67,82.67,79,100,10.98
Kahului,US,20.89,-156.47,75.81,78.01,69,40,13.87
Ponoka,CA,52.68,-113.59,57.7,62.01,28,75,6.93
Whitehorse,CA,60.72,-135.06,41.77,43.0,41,90,19.46
Acapulco,MX,16.86,-99.88,84.2,84.2,70,5,5.82
Manutuke,NZ,-38.68,177.91,57.99,57.99,95,10,6.33
Black River,JM,18.03,-77.85,82.17,82.4,74,40,23.04
Shakawe,BW,-18.36,21.84,76.55,76.55,49,85,4.85
Ergani,TR,38.27,39.76,38.43,43.0,100,75,8.05
Oyama,JP,36.31,139.8,58.46,63.0,100,75,1.12
Atherton,GB,53.52,-2.49,58.91,63.0,48,0,3.36
Dokka,NO,60.83,10.07,43.54,44.01,72,100,1.01
Auki,NG,12.18,6.51,92.39,92.39,9,42,5.57
Axim,GH,4.87,-2.24,81.77,81.77,87,100,9.62
Houma,CN,35.63,111.36,56.21,56.21,82,96,2.84
Ponta Delgada,PT,37.73,-25.67,57.65,60.8,77,20,13.87
Gotsu,JP,35.01,132.22,60.71,60.71,79,100,7.27
Volosovo,RU,59.45,29.48,42.8,42.8,56,0,2.24
San Lorenzo,HN,13.43,-87.45,96.8,96.8,37,0,11.41
Lastoursville,GA,-0.81,12.73,74.39,74.39,93,100,3.49
Ulaangom,MN,49.98,92.07,34.07,34.07,42,88,4.32
Amapa,HN,15.09,-87.97,85.42,86.0,55,40,14.99
Evensk,RU,61.92,159.24,28.31,28.31,86,100,5.03
Istok,PL,52.85,23.44,44.98,46.0,84,83,3.0
Fort Nelson,CA,58.81,-122.69,50.0,50.0,25,75,5.82
Kruszwica,PL,52.67,18.33,50.61,55.0,46,0,9.17
Pirgos,GR,35.12,25.72,54.95,57.2,58,40,11.41
Weiser,US,44.25,-116.97,63.32,64.0,41,1,5.01
Nautanwa,NP,27.43,83.42,80.33,80.33,42,28,4.81
Aswan,EG,24.09,32.9,66.83,66.83,21,0,16.13
Palora,EC,-1.7,-77.97,77.22,78.8,83,75,5.82
Birjand,IR,32.86,59.22,62.6,62.6,32,0,11.41
Broken Hill,AU,-31.97,141.45,57.2,57.2,76,90,16.11
Caohai,CN,26.87,104.28,51.89,51.89,95,98,3.51
Kavieng,PG,-2.57,150.8,82.49,82.49,76,41,1.07
Zinder,NE,13.81,8.99,86.99,86.99,9,40,10.29
Ostrovnoy,RU,68.05,39.51,38.21,38.21,91,100,19.55
Prince Rupert,CA,54.32,-130.32,48.2,48.2,70,90,19.46
Berekum,GH,7.45,-2.58,80.33,80.33,78,84,2.26
Sabha,LY,27.03,14.43,82.49,82.49,10,0,18.39
Rosignol,GY,6.28,-57.53,82.31,82.31,69,43,7.72
North Bend,US,43.41,-124.22,54.64,59.0,76,90,12.75
Wakkanai,JP,45.41,141.67,41.99,41.99,90,2,7.72
Ballina,IE,54.11,-9.15,54.34,55.0,87,75,9.17
Zhoucheng,CN,31.35,119.33,64.4,64.4,93,90,8.95
Aberystwyth,GB,52.41,-4.08,53.51,55.99,85,0,7.29
